Name	Sex	Plant	carried	given	carries	Age
Hoomau	1	CHETR	0	23	0	0
Hoomau	1	CLEHA	4	6	0.666666667	0
Hoomau	1	COPRH	4	15	0.266666667	0
Hoomau	1	ILEAN	6	29	0.206896552	0
Hoomau	1	MYOSA	5	18	0.277777778	0
Hoomau	1	MYRLA	3	3	1	0
Hoomau	1	PIPAL	6	18	0.333333333	0
Hoomau	1	PITHO	2	3	0.666666667	0
Hoomau	1	PLEHA	4	8	0.5	0
Hoomau	1	PRISCb	3	5	0.6	0
Hoomau	1	PRISCg	2	6	0.333333333	0
Hoomau	1	STYTA	0	23	0	0
Hoomau	1	TETHA	2	13	0.153846154	0
Hoomau	1	VACRE	5	23	0.217391304	0
Konane	1	CHETR	0	15	0	0
Konane	1	CLEHA	2	6	0.333333333	0
Konane	1	COPRH	3	15	0.2	0
Konane	1	ILEAN	1	21	0.047619048	0
Konane	1	MYOSA	2	18	0.111111111	0
Konane	1	MYRLA	2	3	0.666666667	0
Konane	1	PIPAL	1	18	0.055555556	0
Konane	1	PITHO	1	3	0.333333333	0
Konane	1	PLEHA	0	8	0	0
Konane	1	PRISCb	0	5	0	0
Konane	1	PRISCg	3	6	0.5	0
Konane	1	STYTA	1	15	0.066666667	0
Konane	1	TETHA	2	13	0.153846154	0
Konane	1	VACRE	3	15	0.2	0
Maemae	0	CHETR	0	15	0	0
Maemae	0	CLEHA	2	6	0.333333333	0
Maemae	0	COPRH	2	15	0.133333333	0
Maemae	0	ILEAN	1	21	0.047619048	0
Maemae	0	MYOSA	2	18	0.111111111	0
Maemae	0	MYRLA	2	3	0.666666667	0
Maemae	0	PIPAL	3	18	0.166666667	0
Maemae	0	PITHO	1	3	0.333333333	0
Maemae	0	PLEHA	0	8	0	0
Maemae	0	PRISCb	1	5	0.2	0
Maemae	0	PRISCg	1	6	0.166666667	0
Maemae	0	STYTA	1	15	0.066666667	0
Maemae	0	TETHA	3	13	0.230769231	0
Maemae	0	VACRE	2	15	0.133333333	0
Malama	0	CHETR	0	15	0	0
Malama	0	CLEHA	1	6	0.166666667	0
Malama	0	COPRH	0	15	0	0
Malama	0	ILEAN	2	21	0.095238095	0
Malama	0	MYOSA	1	18	0.055555556	0
Malama	0	MYRLA	3	3	1	0
Malama	0	PIPAL	1	18	0.055555556	0
Malama	0	PITHO	1	3	0.333333333	0
Malama	0	PLEHA	1	8	0.125	0
Malama	0	PRISCb	2	4	0.5	0
Malama	0	PRISCg	1	6	0.166666667	0
Malama	0	STYTA	1	15	0.066666667	0
Malama	0	TETHA	3	13	0.230769231	0
Malama	0	VACRE	1	15	0.066666667	0
Kuhao	1	CHETR	0	15	0	0
Kuhao	1	CLEHA	3	6	0.5	0
Kuhao	1	COPRH	3	15	0.2	0
Kuhao	1	ILEAN	1	21	0.047619048	0
Kuhao	1	MYOSA	0	18	0	0
Kuhao	1	MYRLA	2	3	0.666666667	0
Kuhao	1	PIPAL	2	18	0.111111111	0
Kuhao	1	PITHO	0	3	0	0
Kuhao	1	PLEHA	2	8	0.25	0
Kuhao	1	PRISCb	2	5	0.4	0
Kuhao	1	PRISCg	1	6	0.166666667	0
Kuhao	1	STYTA	0	15	0	0
Kuhao	1	TETHA	1	13	0.076923077	0
Kuhao	1	VACRE	1	15	0.066666667	0
Mee	1	CHETR	0	15	0	0
Mee	1	CLEHA	2	6	0.333333333	0
Mee	1	COPRH	2	15	0.133333333	0
Mee	1	ILEAN	1	21	0.047619048	0
Mee	1	MYOSA	2	18	0.111111111	0
Mee	1	MYRLA	2	3	0.666666667	0
Mee	1	PIPAL	1	18	0.055555556	0
Mee	1	PITHO	0	3	0	0
Mee	1	PLEHA	0	8	0	0
Mee	1	PRISCb	2	5	0.4	0
Mee	1	PRISCg	2	6	0.333333333	0
Mee	1	STYTA	1	15	0.066666667	0
Mee	1	TETHA	1	13	0.076923077	0
Mee	1	VACRE	0	15	0	0
Lele	1	CHETR	0	10	0	0
Lele	1	CLEHA	0	6	0	0
Lele	1	COPRH	1	18	0.055555556	0
Lele	1	ILEAN	0	19	0	0
Lele	1	MYOSA	2	18	0.111111111	0
Lele	1	MYRLA	2	3	0.666666667	0
Lele	1	PIPAL	0	18	0	0
Lele	1	PITHO	1	3	0.333333333	0
Lele	1	PLEHA	1	8	0.125	0
Lele	1	PRISCb	1	4	0.25	0
Lele	1	PRISCg	0	6	0	0
Lele	1	STYTA	0	13	0	0
Lele	1	TETHA	0	13	0	0
Lele	1	VACRE	0	13	0	0
Yellow	0	CHETR	0	13	0	0
Yellow	0	CLEHA	1	6	0.166666667	0
Yellow	0	COPRH	2	15	0.133333333	0
Yellow	0	ILEAN	0	19	0	0
Yellow	0	MYOSA	1	18	0.055555556	0
Yellow	0	MYRLA	1	3	0.333333333	0
Yellow	0	PIPAL	0	18	0	0
Yellow	0	PITHO	1	3	0.333333333	0
