Name	Sex	Plant	eaten	given	eats	Age
Hoomau	1	CHETR	0	23	0	0
Hoomau	1	CLEHA	2	6	0.333333333	0
Hoomau	1	COPRH	10	15	0.666666667	0
Hoomau	1	ILEAN	4	29	0.137931034	0
Hoomau	1	MYOSA	2	18	0.111111111	0
Hoomau	1	MYRLA	2	3	0.666666667	0
Hoomau	1	PIPAL	7	18	0.388888889	0
Hoomau	1	PITHO	0	3	0	0
Hoomau	1	PLEHA	0	8	0	0
Hoomau	1	PRISCb	0	5	0	0
Hoomau	1	PRISCg	1	6	0.166666667	0
Hoomau	1	STYTA	8	23	0.347826087	0
Hoomau	1	TETHA	1	13	0.076923077	0
Hoomau	1	VACRE	9	23	0.391304348	0
Konane	1	CHETR	0	15	0	0
Konane	1	CLEHA	4	6	0.666666667	0
Konane	1	COPRH	14	15	0.933333333	0
Konane	1	ILEAN	0	21	0	0
Konane	1	MYOSA	3	18	0.166666667	0
Konane	1	MYRLA	3	3	1	0
Konane	1	PIPAL	6	18	0.333333333	0
Konane	1	PITHO	0	3	0	0
Konane	1	PLEHA	0	8	0	0
Konane	1	PRISCb	0	5	0	0
Konane	1	PRISCg	0	6	0	0
Konane	1	STYTA	4	15	0.266666667	0
Konane	1	TETHA	3	13	0.230769231	0
Konane	1	VACRE	7	15	0.466666667	0
Maemae	0	CHETR	0	15	0	0
Maemae	0	CLEHA	2	6	0.333333333	0
Maemae	0	COPRH	9	15	0.6	0
Maemae	0	ILEAN	2	21	0.095238095	0
Maemae	0	MYOSA	1	18	0.055555556	0
Maemae	0	MYRLA	2	3	0.666666667	0
Maemae	0	PIPAL	7	18	0.388888889	0
Maemae	0	PITHO	0	3	0	0
Maemae	0	PLEHA	0	8	0	0
Maemae	0	PRISCb	0	5	0	0
Maemae	0	PRISCg	0	6	0	0
Maemae	0	STYTA	5	15	0.333333333	0
Maemae	0	TETHA	1	13	0.076923077	0
Maemae	0	VACRE	4	15	0.266666667	0
Malama	0	CHETR	1	15	0.066666667	0
Malama	0	CLEHA	2	6	0.333333333	0
Malama	0	COPRH	8	15	0.533333333	0
Malama	0	ILEAN	0	21	0	0
Malama	0	MYOSA	3	18	0.166666667	0
Malama	0	MYRLA	1	3	0.333333333	0
Malama	0	PIPAL	8	18	0.444444444	0
Malama	0	PITHO	0	3	0	0
Malama	0	PLEHA	0	8	0	0
Malama	0	PRISCb	0	4	0	0
Malama	0	PRISCg	0	6	0	0
Malama	0	STYTA	5	15	0.333333333	0
Malama	0	TETHA	3	13	0.230769231	0
Malama	0	VACRE	5	15	0.333333333	0
Kuhao	1	CHETR	0	15	0	0
Kuhao	1	CLEHA	1	6	0.166666667	0
Kuhao	1	COPRH	10	15	0.666666667	0
Kuhao	1	ILEAN	0	21	0	0
Kuhao	1	MYOSA	1	18	0.055555556	0
Kuhao	1	MYRLA	1	3	0.333333333	0
Kuhao	1	PIPAL	6	18	0.333333333	0
Kuhao	1	PITHO	0	3	0	0
Kuhao	1	PLEHA	0	8	0	0
Kuhao	1	PRISCb	0	5	0	0
Kuhao	1	PRISCg	0	6	0	0
Kuhao	1	STYTA	2	15	0.133333333	0
Kuhao	1	TETHA	1	13	0.076923077	0
Kuhao	1	VACRE	4	15	0.266666667	0
Mee	1	CHETR	0	15	0	0
Mee	1	CLEHA	4	6	0.666666667	0
Mee	1	COPRH	4	15	0.266666667	0
Mee	1	ILEAN	1	21	0.047619048	0
Mee	1	MYOSA	1	18	0.055555556	0
Mee	1	MYRLA	2	3	0.666666667	0
Mee	1	PIPAL	1	18	0.055555556	0
Mee	1	PITHO	0	3	0	0
Mee	1	PLEHA	0	8	0	0
Mee	1	PRISCb	0	5	0	0
Mee	1	PRISCg	0	6	0	0
Mee	1	STYTA	1	15	0.066666667	0
Mee	1	TETHA	0	13	0	0
Mee	1	VACRE	1	15	0.066666667	0
Lele	1	CHETR	0	10	0	0
Lele	1	CLEHA	3	6	0.5	0
Lele	1	COPRH	1	18	0.055555556	0
Lele	1	ILEAN	0	19	0	0
Lele	1	MYOSA	1	18	0.055555556	0
Lele	1	MYRLA	2	3	0.666666667	0
Lele	1	PIPAL	1	18	0.055555556	0
Lele	1	PITHO	0	3	0	0
Lele	1	PLEHA	0	8	0	0
Lele	1	PRISCb	0	4	0	0
Lele	1	PRISCg	0	6	0	0
Lele	1	STYTA	0	13	0	0
Lele	1	TETHA	0	13	0	0
Lele	1	VACRE	0	13	0	0
Yellow	0	CHETR	0	13	0	0
Yellow	0	CLEHA	1	6	0.166666667	0
Yellow	0	COPRH	7	15	0.466666667	0
Yellow	0	ILEAN	0	19	0	0
Yellow	0	MYOSA	5	18	0.277777778	0
Yellow	0	MYRLA	2	3	0.666666667	0
Yellow	0	PIPAL	0	18	0	0
Yellow	0	PITHO	0	3	0	0
Yellow	0	PLEHA	0	8	0	0
Yellow	0	PRISCb	0	5	0	0
Yellow	0	PRISCg	0	6	0	0
Yellow	0	STYTA	3	13	0.230769231	0
Yellow	0	TETHA	1	13	0.076923077	0
Yellow	0	VACRE	0	13	0	0
Blue	1	CHETR	0	10	0	0
Blue	1	CLEHA	1	6	0.166666667	0
Blue	1	COPRH	7	18	0.388888889	0
Blue	1	ILEAN	0	19	0	0
Blue	1	MYOSA	1	18	0.055555556	0
Blue	1	MYRLA	0	3	0	0
Blue	1	PIPAL	0	18	0	0
Blue	1	PITHO	0	3	0	0
Blue	1	PLEHA	0	8	0	0
Blue	1	PRISCb	0	5	0	0
Blue	1	PRISCg	0	6	0	0
Blue	1	STYTA	2	13	0.153846154	0
Blue	1	TETHA	2	13	0.153846154	0
Blue	1	VACRE	1	13	0.076923077	0
Ahuahu	1	CHETR	1	13	0.076923077	0
Ahuahu	1	CLEHA	1	5	0.2	0
Ahuahu	1	COPRH	8	15	0.533333333	0
Ahuahu	1	ILEAN	0	19	0	0
Ahuahu	1	MYOSA	1	15	0.066666667	0
Ahuahu	1	PIPAL	5	18	0.277777778	0
Ahuahu	1	PITHO	0	3	0	0
Ahuahu	1	PLEHA	0	3	0	0
Ahuahu	1	PRISCb	0	2	0	0
Ahuahu	1	PRISCg	0	3	0	0
Ahuahu	1	STYTA	2	13	0.153846154	0
Ahuahu	1	TETHA	3	12	0.25	0
Ahuahu	1	VACRE	0	13	0	0
Aumoe	0	CHETR	6	16	0.375	0
Aumoe	0	CLEHA	1	6	0.166666667	0
Aumoe	0	COPRH	9	15	0.6	0
Aumoe	0	ILEAN	2	18	0.111111111	0
Aumoe	0	MYOSA	1	24	0.041666667	0
Aumoe	0	MYRLA	0	3	0	0
Aumoe	0	PIPAL	2	18	0.111111111	0
Aumoe	0	PITHO	0	25	0	0
Aumoe	0	PLEHA	0	12	0	0
Aumoe	0	PRISCb	0	5	0	0
Aumoe	0	PRISCg	0	9	0	0
Aumoe	0	STYTA	7	27	0.259259259	0
Aumoe	0	TETHA	4	25	0.16	0
Aumoe	0	VACRE	9	19	0.473684211	0
Pomahina	0	CHETR	10	16	0.625	0
Pomahina	0	CLEHA	3	6	0.5	0
Pomahina	0	COPRH	9	15	0.6	0
Pomahina	0	ILEAN	4	18	0.222222222	0
Pomahina	0	MYOSA	2	24	0.083333333	0
Pomahina	0	MYRLA	0	3	0	0
Pomahina	0	PIPAL	4	18	0.222222222	0
Pomahina	0	PITHO	1	25	0.04	0
Pomahina	0	PLEHA	0	12	0	0
Pomahina	0	PRISCb	0	5	0	0
Pomahina	0	PRISCg	0	9	0	0
Pomahina	0	STYTA	7	27	0.259259259	0
Pomahina	0	TETHA	5	25	0.2	0
Pomahina	0	VACRE	12	19	0.631578947	0
Kukui	1	CHETR	4	16	0.25	0
Kukui	1	CLEHA	1	6	0.166666667	0
Kukui	1	COPRH	9	15	0.6	0
Kukui	1	ILEAN	0	18	0	0
Kukui	1	MYOSA	2	24	0.083333333	0
Kukui	1	MYRLA	0	3	0	0
Kukui	1	PIPAL	10	18	0.555555556	0
Kukui	1	PITHO	1	25	0.04	0
Kukui	1	PLEHA	0	12	0	0
Kukui	1	PRISCb	0	4	0	0
Kukui	1	PRISCg	2	9	0.222222222	0
Kukui	1	STYTA	3	27	0.111111111	0
Kukui	1	TETHA	5	25	0.2	0
Kukui	1	VACRE	12	19	0.631578947	0
Olahou	1	CHETR	11	16	0.6875	0
Olahou	1	CLEHA	2	6	0.333333333	0
Olahou	1	COPRH	13	15	0.866666667	0
Olahou	1	ILEAN	4	18	0.222222222	0
Olahou	1	MYOSA	4	24	0.166666667	0
Olahou	1	MYRLA	2	3	0.666666667	0
Olahou	1	PIPAL	7	18	0.388888889	0
Olahou	1	PITHO	0	25	0	0
Olahou	1	PLEHA	0	12	0	0
Olahou	1	PRISCb	0	5	0	0
Olahou	1	PRISCg	0	9	0	0
Olahou	1	STYTA	11	27	0.407407407	0
Olahou	1	TETHA	10	25	0.4	0
Olahou	1	VACRE	11	19	0.578947368	0
Pono	1	CHETR	8	16	0.5	0
Pono	1	CLEHA	3	6	0.5	0
Pono	1	COPRH	8	15	0.533333333	0
Pono	1	ILEAN	1	18	0.055555556	0
Pono	1	MYOSA	6	24	0.25	0
Pono	1	MYRLA	0	3	0	0
Pono	1	PIPAL	5	18	0.277777778	0
Pono	1	PITHO	1	25	0.04	0
Pono	1	PLEHA	0	12	0	0
Pono	1	PRISCb	0	5	0	0
Pono	1	PRISCg	0	9	0	0
Pono	1	STYTA	10	27	0.37037037	0
Pono	1	TETHA	7	25	0.28	0
Pono	1	VACRE	11	19	0.578947368	0
Hauoli	0	CHETR	2	16	0.125	0
Hauoli	0	CLEHA	2	6	0.333333333	0
Hauoli	0	COPRH	10	15	0.666666667	0
Hauoli	0	ILEAN	1	18	0.055555556	0
Hauoli	0	MYOSA	9	24	0.375	0
Hauoli	0	MYRLA	1	3	0.333333333	0
Hauoli	0	PIPAL	4	18	0.222222222	0
Hauoli	0	PITHO	0	25	0	0
Hauoli	0	PLEHA	0	12	0	0
Hauoli	0	PRISCb	0	5	0	0
Hauoli	0	PRISCg	0	9	0	0
Hauoli	0	STYTA	4	27	0.148148148	0
Hauoli	0	TETHA	3	25	0.12	0
Hauoli	0	VACRE	10	19	0.526315789	0
Oluolu	0	CHETR	6	16	0.375	0
Oluolu	0	CLEHA	3	6	0.5	0
Oluolu	0	COPRH	3	15	0.2	0
Oluolu	0	ILEAN	4	18	0.222222222	0
Oluolu	0	MYOSA	4	24	0.166666667	0
Oluolu	0	MYRLA	0	3	0	0
Oluolu	0	PIPAL	3	18	0.166666667	0
Oluolu	0	PITHO	0	25	0	0
Oluolu	0	PLEHA	0	12	0	0
Oluolu	0	PRISCb	0	5	0	0
Oluolu	0	PRISCg	0	9	0	0
Oluolu	0	STYTA	3	27	0.111111111	0
Oluolu	0	TETHA	4	25	0.16	0
Oluolu	0	VACRE	4	19	0.210526316	0
Ha	1	CHETR	3	16	0.1875	0
Ha	1	CLEHA	2	6	0.333333333	0
Ha	1	COPRH	9	15	0.6	0
Ha	1	ILEAN	2	18	0.111111111	0
