Rep	Plant	trt	trtnumb	germsucc	planted
1	CHETR	cl	4	0.32	50
1	CHETR	fec	2	0.38	20
1	CHETR	pell	3	0.222222222	45
1	CHETR	wh	1	0.222222222	36
2	CHETR	cl	4	0.32	50
2	CHETR	fec	2	0.44	50
2	CHETR	pell	3	0.4375	32
2	CHETR	wh	1	0	51
3	CHETR	cl	4	0	24
3	CHETR	fec	2	0.133333333	15
3	CHETR	pell	3	0.307692308	13
3	CHETR	wh	1	0	24
4	CHETR	cl	4	0.147058824	34
4	CHETR	fec	2	0.076923077	13
4	CHETR	pell	3	0.111111111	45
4	CHETR	wh	1	0.029411765	34
5	CHETR	cl	4	0.128205128	39
5	CHETR	fec	2	0.105263158	38
5	CHETR	pell	3	0.142857143	14
5	CHETR	wh	1	0.025641026	39
1	CLEHA	cl	4	0.82	50
1	CLEHA	fec	2	0.32	50
1	CLEHA	wh	1	0.017672414	2320
2	CLEHA	cl	4	0.441176471	34
2	CLEHA	fec	2	0.911764706	34
2	CLEHA	wh	1	0.061206897	1160
3	CLEHA	cl	4	0.880952381	42
3	CLEHA	fec	2	0.904761905	42
3	CLEHA	wh	1	0.065517241	1160
4	CLEHA	cl	4	0.875	40
4	CLEHA	fec	2	0.34	50
4	CLEHA	wh	1	0.054310345	1160
5	CLEHA	cl	4	0.348837209	43
5	CLEHA	fec	2	0.511627907	43
5	CLEHA	wh	1	0.05862069	1160
1	COPRH	cl	4	0.72	50
1	COPRH	fec	2	0.56	80
1	COPRH	pell	3	0.88	50
1	COPRH	wh	1	0.25	24
2	COPRH	cl	4	0.82	50
2	COPRH	fec	2	0.88	50
2	COPRH	pell	3	0.88	50
2	COPRH	wh	1	0.02	50
3	COPRH	cl	4	0.72	50
3	COPRH	fec	2	0.615384615	39
3	COPRH	pell	3	0.74	50
3	COPRH	wh	1	0.24	50
4	COPRH	cl	4	0.24	50
4	COPRH	fec	2	0.204545455	44
4	COPRH	pell	3	0.24	50
4	COPRH	wh	1	0.2	50
5	COPRH	cl	4	0.06	50
5	COPRH	fec	2	0.26	50
5	COPRH	pell	3	0.375	24
5	COPRH	wh	1	0.02	50
1	PIPAL	cl	4	0.22	50
1	PIPAL	fec	2	0.5	18
1	PIPAL	wh	1	0.227272727	1056
2	PIPAL	cl	4	0.384615385	26
2	PIPAL	fec	2	0.384615385	26
2	PIPAL	wh	1	0.113636364	264
3	PIPAL	cl	4	0.32	50
3	PIPAL	fec	2	0.42	50
3	PIPAL	wh	1	0.065909091	440
1	PITHO	cl	4	0.428571429	42
1	PITHO	fec	2	0.142857143	42
1	PITHO	wh	1	0	144
2	PITHO	cl	4	0.033333333	30
2	PITHO	fec	2	0.433333333	30
2	PITHO	wh	1	0	144
3	PITHO	cl	4	0.384615385	26
3	PITHO	fec	2	0.538461538	26
3	PITHO	pell	3	0.181818182	11
3	PITHO	wh	1	0	144
4	PITHO	cl	4	0.28	50
4	PITHO	fec	2	0.705882353	34
4	PITHO	pell	3		18
4	PITHO	wh	1	0	144
5	PITHO	cl	4	0.441176471	34
5	PITHO	fec	2	0.705882353	34
5	PITHO	pell	3	1	2
5	PITHO	wh	1	0	144
1	VACRE	cl	4	0.52	50
1	VACRE	fec	2	0.42	50
1	VACRE	wh	1	0.013157895	1140
2	VACRE	cl	4	0.9	10
2	VACRE	fec	2	0	10
2	VACRE	wh	1	0.010526316	475
3	VACRE	cl	4	0.175	40
3	VACRE	fec	2	0.075	40
3	VACRE	wh	1	0.008421053	475
4	VACRE	cl	4	0.366666667	30
4	VACRE	fec	2	0.066666667	30
4	VACRE	wh	1	0.018947368	475
5	VACRE	cl	4	0.3125	32
5	VACRE	fec	2	0.03125	32
5	VACRE	wh	1	0	285
